RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
72,30,158,300,Enfriamiento Simulado,15,True,"[9, 117, 102, 89, 152, 53, 104, 144, 9]",80,4702.941999999999,294.9484514435695,5.051548556430475,8,100.0,0.244354248046875
73,30,158,300,Algoritmo Genetico Estacionario,15,True,"[9, 70, 121, 29, 104, 135, 89, 9]",65,5779.827,280.85074803149604,19.14925196850396,7,92.85714285714286,21.118502140045166
74,30,158,300,Algoritmo Memetico,15,True,"[9, 109, 152, 138, 53, 89, 144, 9]",68,3489.9170000000004,270.799435695538,29.200564304461977,7,97.14285714285714,365.7358453273773
75,30,158,300,Greedy,16,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10497450828552246
76,30,158,300,GRASP,16,True,"[9, 144, 117, 100, 121, 152, 89, 109, 9]",78,3621.202,265.52233595800527,34.47766404199473,8,97.5,0.08224129676818848
77,30,158,300,Enfriamiento Simulado,16,True,"[9, 117, 144, 89, 152, 53, 104, 121, 9]",80,3616.033,289.68455380577427,10.315446194225729,8,100.0,0.2770242691040039
78,30,158,300,Algoritmo Genetico Estacionario,16,True,"[9, 121, 117, 62, 94, 104, 152, 9]",65,4893.128,266.2142782152231,33.78572178477691,7,92.85714285714286,23.083192825317383
79,30,158,300,Algoritmo Memetico,16,True,"[9, 100, 102, 104, 53, 89, 144, 9]",69,4694.847,287.61216535433067,12.38783464566933,7,98.57142857142858,351.97196769714355
80,30,158,300,Greedy,17,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10291862487792969
81,30,158,300,GRASP,17,True,"[9, 53, 152, 121, 109, 102, 123, 9]",68,5982.438,266.5096850393701,33.49031496062992,7,97.14285714285714,0.07439184188842773
82,30,158,300,Enfriamiento Simulado,17,True,"[9, 117, 144, 89, 152, 104, 94, 17, 9]",78,5835.892,298.4744619422572,1.5255380577427786,8,97.5,0.23757076263427734
83,30,158,300,Algoritmo Genetico Estacionario,17,True,"[9, 89, 7, 92, 117, 53, 143, 9]",66,5567.527999999999,282.0646719160105,17.935328083989475,7,94.28571428571429,23.493519067764282
84,30,158,300,Algoritmo Memetico,17,True,"[9, 140, 17, 51, 138, 109, 152, 9]",67,4833.777,284.4353937007874,15.564606299212585,7,95.71428571428571,321.8170235157013
85,30,158,300,Greedy,18,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10491037368774414
86,30,158,300,GRASP,18,True,"[9, 53, 104, 25, 117, 102, 121, 9]",70,5662.859,273.31573490813645,26.68426509186355,7,100.0,0.07052087783813477
87,30,158,300,Enfriamiento Simulado,18,True,"[9, 117, 121, 89, 152, 53, 104, 25, 9]",80,4254.808000000001,293.0674278215223,6.932572178477699,8,100.0,0.2392117977142334
88,30,158,300,Algoritmo Genetico Estacionario,18,True,"[9, 104, 152, 89, 45, 85, 138, 9]",65,4946.238,264.91125984251966,35.088740157480345,7,92.85714285714286,22.474647283554077
89,30,158,300,Algoritmo Memetico,18,True,"[9, 45, 53, 104, 89, 117, 144, 9]",69,2924.556,259.38,40.620000000000005,7,98.57142857142858,317.3657581806183
90,30,158,300,Greedy,19,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10336089134216309
91,30,158,300,GRASP,19,True,"[9, 53, 102, 70, 51, 121, 138, 7, 9]",78,6085.109000000001,294.85707349081366,5.1429265091863385,8,97.5,0.0853583812713623
92,30,158,300,Enfriamiento Simulado,19,True,"[9, 117, 144, 89, 152, 102, 53, 121, 9]",80,5414.541,298.89265091863524,1.1073490813647595,8,100.0,0.2381284236907959
93,30,158,300,Algoritmo Genetico Estacionario,19,True,"[9, 120, 109, 51, 152, 121, 117, 9]",66,4641.164000000001,270.90766404199474,29.092335958005265,7,94.28571428571429,22.24300742149353
94,30,158,300,Algoritmo Memetico,19,True,"[9, 152, 102, 21, 104, 89, 144, 9]",69,3920.5679999999998,269.4510236220473,30.548976377952727,7,98.57142857142858,346.8804512023926
95,30,158,300,Greedy,20,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10122084617614746
96,30,158,300,GRASP,20,True,"[9, 89, 51, 100, 121, 102, 109, 9]",68,5009.933,253.74715223097112,46.252847769028875,7,97.14285714285714,0.06936883926391602
97,30,158,300,Enfriamiento Simulado,20,True,"[9, 117, 144, 104, 152, 53, 138, 89, 9]",79,4291.267000000001,291.91413385826775,8.085866141732254,8,98.75,0.2401747703552246
98,30,158,300,Algoritmo Genetico Estacionario,20,True,"[9, 117, 7, 78, 122, 109, 100, 9]",64,4195.676,259.06136482939627,40.93863517060373,7,91.42857142857142,23.40324592590332
99,30,158,300,Algoritmo Memetico,20,True,"[9, 122, 51, 109, 53, 89, 144, 9]",67,3638.223,279.7457086614173,20.254291338582675,7,95.71428571428571,321.18085074424744
